"",""
"","Retail Price Information"
"","","DATE","6/6/2026"
"","","TIME","5:24:21"
""," S.No"," Medicines"," Formulations"," Manufacturer Name"," Marketing  Company"," Units"," Retail Prices (Rs.)(Exclusive Local Taxes/GST)"," SO NO"," SO Date"
"","1","Cefixime Trihydrate+ Ofloxacin","Ahydrous Cefixime-100mg Ofloxacin-100mg","Theon Pharmaceuticals Ltd.","Glenmark Pharamceuticals ltd.","1 Tablet","5.5","2870(E)","20-Sep-13"
"","2","Cetrizine HCl+ Ambroxol HCl","Cetrizine HCl-5mg 
Ambroxol HCl-60mg","Cris Pharma(India) Limited","Seagull Pharmaceuticals Pvt. Ltd.","1 Tablet","3.15","2871(E)","20-Sep-13"
"","3","Omeprazole+ Domperidone","Omeprazole-20mg (as entric coated granules) Domperidone-10mg","Gujarat Terce Laboratories Limited","Gujarat Terce Laboratories Limited","Capsule","4","2872(E) and 1208(E)","20/09/2013 and  05/05/2014"
"","4","Glibenclamide +Metformin HCL (Extended release) tablet","Glibenclamide - 5 mg 
Metformin HCL - 500 mg","Windlas Biotech Limited","Mankind Pharma Ltd.","10's Tablets","25.66","3380(E)","05-Nov-13"
"","5","Olmesartan Medoxomil + (Metoprolol succinate Tablets (Olmetor M 25mg)","Olmesartan Medoxomil Ph.Eur 20 mg 
Metoprolol succinate - 23.75 mg eq. to Metoprolol Tartrate - 25 mg (as extended release form)","Akums Drugs & Pharmaceuticals Limited","Torrent Pharmaceuticals Ltd.","1 Tablet","8.46","3381(E)","05-Nov-13"
"","6","Olmesartan Medoxomil + (Metoprolol succinate Tablets (Olmetor M 50mg)","Medoxomil Ph.Eur 20 mg 
Metoprolol succinate - 47.50 mg eq. to Metoprolol Tartrate - 50 mg (as extended release form)","Akums Drugs & Pharmaceuticals Limited","Torrent Pharmaceuticals Ltd.","1 Tablet","9.39","3382(E)","05-Nov-13"
"","7","Telmisartan + Metoprolol succinate Tablets (Telday M 50mg)","Telmisartan 40 mg 
Metoprolol succinate - 47.50 mg eq. to Metoprolol Tartrate - 50 mg (as extended release form)","Akums Drugs & Pharmaceuticals Limited","Torrent Pharmaceuticals Ltd.","1 Tablet","8.87","3383(E)","05-Nov-13"
"","8","Amoxycillin +Clavulanic Acid Dry Syrup/Suspension (Clamchek Forte D.S.)","Amoxycillin - 400 mg 
Potassium Clavulantate Diluted eq. to Clavulanic Acid - 57 mg","Theon Pharmaceuticals Ltd.","Indoco Remedies Limited","Sryup","2.85","3384(E)","05-Nov-13"
"","9","Cefixime Trihydrate+ Ornidazole Tablets (Cefolac OZ Tablet)","Anhydrous Cefixime-200mg 
Ornidazole-500mg","Innova Captab P.Ltd.","Macleods Pharmaceuticals Ltd.","1 Tablet","16","3385(E)","05-Nov-13"
"","10","Voglibose + Metformin HCL (SR) Tablets","Voglibose - 0.2mg 
Metformin HCL - 500 (as sustained release)mg","Akums Drugs & Pharmaceuticals Limited","Strides Arcolab Limited","1 Tablet","5.5","3386(E)","05-Nov-13"
